Year	Loss
1993	 1488253 
1989	 1486443 
1991	 1485934 
1989	 1480847 
1995	 1480123 
1995	 1479475 
1992	 1468939 
1996	 1465832 
1997	 1462997 
1989	 1460026 
1996	 1454791 
1995	 1454584 
1994	 1451737 
1996	 1450267 
1993	 1429686 
1992	 1429244 
1992	 1428516 
1995	 1424375 
1996	 1413145 
1994	 1393618 
1996	 1393427 
1991	 1390495 
1995	 1386083 
1992	 1371264 
1993	 1369814 
1993	 1368007 
1990	 1366117 
1995	 1365096 
1996	 1363676 
1996	 1360045 
1996	 1358795 
1991	 1353626 
1991	 1348837 
1990	 1339965 
1993	 1339233 
1995	 1339127 
1993	 1324165 
1994	 1322883 
1994	 1321650 
1991	 1318185 
1994	 1317822 
1988	 1317227 
1991	 1316166 
1995	 1316137 
1991	 1308922 
1995	 1307195 
1988	 1305379 
1991	 1295513 
1993	 1294638 
1991	 1292545 
1993	 1287514 
1991	 1284317 
1991	 1283986 
1992	 1283289 
1991	 1281361 
1990	 1280028 
1991	 1278718 
1995	 1276105 
1993	 1274766 
1992	 1274229 
1990	 1273492 
1991	 1273284 
1990	 1261338 
1993	 1240288 
1992	 1239930 
1992	 1239581 
1988	 1231142 
1992	 1225921 
1992	 1221233 
1989	 1219936 
1990	 1211987 
1991	 1208123 
